"generic neteye command", "commands that can be executed on every neteye node of the neteye architectuyre", "``neteye# neteye status``"
"generic neteye cluster command", "commands that can be executed only on a neteye cluster", "``cluster# pcs status``"
"neteye cluster active node specific command", "commands that need to be executed on a neteye cluster active node", "``cluster-active# neteye_secure_install``"
"neteye cluster other node specific command", "commands that need to be executed on other nodes of a neteye cluster", "``cluster-node-N# neteye_secure_install``"
"neteye cluster standby node ", "commands that need to be executed on all nodes that are in standby", "``cluster-node-N(standby)# neteye_secure_install``"
"neteye cluster not-standby node ", "commands that need to be executed on the neteye cluster node that is not in standby (there is only one)", "``cluster-node(not-standby)# neteye_secure_install``"
"neteye cluster node where a resource is running", "commands that need to be executed on a neteye cluster node where a specific resource is running", "``cluster-node(icingaweb2-active)# icingacli director config deploy``"
"neteye statellite specific command", "commands that need to be executed on a neteye satellite", "sat# ``neteye satellite setup``"
"neteye Voting-only", "Command to run on Voting-only nodes", "``voting-only# pcs status``"
"neteye Elastic-only ", "Command to run on Elastic-only nodes", "``elastic-only# systemctl status elasticsearch.service``"
"neteye InfluxDB-only ", "Command to run on InfluxDB-only nodes", "``influxdb-only# systemctl status influxdb.service``"
